debate_audio_id,turn_id,speaker_raw,word,start_sec,end_sec
1003,1003_t0003,DUKAKIS,state,131.8,132.02
1003,1003_t0003,DUKAKIS,in,132.02,132.08
1003,1003_t0003,DUKAKIS,america,132.08,132.42
1003,1003_t0003,DUKAKIS,why,132.42,132.58
1003,1003_t0003,DUKAKIS,we,132.58,132.72
1003,1003_t0003,DUKAKIS,have,132.72,133.03
1003,1003_t0003,DUKAKIS,the,133.63,133.69
1003,1003_t0003,DUKAKIS,lowest,133.69,133.99
1003,1003_t0003,DUKAKIS,murder,133.99,134.21
1003,1003_t0003,DUKAKIS,rate,134.21,134.38
1003,1003_t0003,DUKAKIS,of,134.38,134.46
1003,1003_t0003,DUKAKIS,any,134.46,134.58
1003,1003_t0003,DUKAKIS,industrial,134.58,134.93
1003,1003_t0003,DUKAKIS,state,134.93,135.15
1003,1003_t0003,DUKAKIS,in,135.15,135.21
1003,1003_t0003,DUKAKIS,america,135.21,135.53
1003,1003_t0003,DUKAKIS,but,136.58,136.69
1003,1003_t0003,DUKAKIS,we,136.69,136.82
1003,1003_t0003,DUKAKIS,have,136.82,137.01
1003,1003_t0003,DUKAKIS,work,137.01,137.22
1003,1003_t0003,DUKAKIS,to,137.22,137.3
1003,1003_t0003,DUKAKIS,do,137.3,137.64
1003,1003_t0003,DUKAKIS,in,137.64,137.87
1003,1003_t0003,DUKAKIS,this,137.87,138.04
1003,1003_t0003,DUKAKIS,nation,138.04,138.36
1003,1003_t0003,DUKAKIS,we,139.41,139.51
1003,1003_t0003,DUKAKIS,have,139.51,139.63
1003,1003_t0003,DUKAKIS,work,139.63,139.88
1003,1003_t0003,DUKAKIS,to,139.88,139.97
1003,1003_t0003,DUKAKIS,do,139.97,140.23
1003,1003_t0003,DUKAKIS,to,140.23,140.3
1003,1003_t0003,DUKAKIS,fight,140.3,140.55
1003,1003_t0003,DUKAKIS,a,140.55,140.59
1003,1003_t0003,DUKAKIS,real,140.59,140.94
1003,1003_t0003,DUKAKIS,war,140.94,141.15
1003,1003_t0003,DUKAKIS,not,141.15,141.29
1003,1003_t0003,DUKAKIS,a,141.29,141.32
1003,1003_t0003,DUKAKIS,phony,141.32,141.58
1003,1003_t0003,DUKAKIS,war,141.58,141.77
1003,1003_t0003,DUKAKIS,against,141.77,142.07
1003,1003_t0003,DUKAKIS,drugs,142.07,142.44
1003,1003_t0003,DUKAKIS,and,142.44,142.55
1003,1003_t0003,DUKAKIS,that's,142.55,142.7
1003,1003_t0003,DUKAKIS,something,142.7,143.05
1003,1003_t0003,DUKAKIS,i,143.05,143.15
1003,1003_t0003,DUKAKIS,want,143.15,143.38
1003,1003_t0003,DUKAKIS,to,143.38,143.44
1003,1003_t0003,DUKAKIS,lead,143.44,143.71
1003,1003_t0003,DUKAKIS,something,143.71,144.07
1003,1003_t0003,DUKAKIS,we,144.07,144.17
1003,1003_t0003,DUKAKIS,haven't,144.17,144.36
1003,1003_t0003,DUKAKIS,had,144.36,144.62
1003,1003_t0003,DUKAKIS,over,144.62,144.75
1003,1003_t0003,DUKAKIS,the,144.75,144.81
1003,1003_t0003,DUKAKIS,course,144.81,145.08
1003,1003_t0003,DUKAKIS,of,145.08,145.14
1003,1003_t0003,DUKAKIS,the,145.14,145.2
1003,1003_t0003,DUKAKIS,past,145.2,145.63
1003,1003_t0003,DUKAKIS,many,146.06,146.26
1003,1003_t0003,DUKAKIS,years,146.26,146.77
1003,1003_t0003,DUKAKIS,even,146.77,146.95
1003,1003_t0003,DUKAKIS,though,146.95,147.19
1003,1003_t0003,DUKAKIS,the,147.19,147.45
1003,1003_t0003,DUKAKIS,vice,147.65,147.82
1003,1003_t0003,DUKAKIS,president,147.82,148.25
1003,1003_t0003,DUKAKIS,has,148.25,148.37
1003,1003_t0003,DUKAKIS,been,148.37,148.69
1003,1003_t0003,DUKAKIS,at,149.37,149.46
1003,1003_t0003,DUKAKIS,least,149.46,149.85
1003,1003_t0003,DUKAKIS,allegedly,150.26,150.78
1003,1003_t0003,DUKAKIS,in,150.78,150.86
1003,1003_t0003,DUKAKIS,charge,150.86,151.14
1003,1003_t0003,DUKAKIS,of,151.14,151.2
1003,1003_t0003,DUKAKIS,that,151.2,151.35
1003,1003_t0003,DUKAKIS,war,151.35,151.67
1003,1003_t0003,DUKAKIS,we,152.69,152.8
1003,1003_t0003,DUKAKIS,have,152.8,152.91
1003,1003_t0003,DUKAKIS,much,152.91,153.18
1003,1003_t0003,DUKAKIS,to,153.18,153.3
1003,1003_t0003,DUKAKIS,do,153.3,153.62
1003,1003_t0003,DUKAKIS,to,153.62,153.75
1003,1003_t0003,DUKAKIS,step,153.75,154.07
1003,1003_t0003,DUKAKIS,up,154.07,154.24
1003,1003_t0003,DUKAKIS,that,154.24,154.46
1003,1003_t0003,DUKAKIS,war,154.46,154.62
1003,1003_t0003,DUKAKIS,to,154.62,154.68
1003,1003_t0003,DUKAKIS,double,154.68,154.96
1003,1003_t0003,DUKAKIS,the,154.96,155.04
1003,1003_t0003,DUKAKIS,number,155.04,155.3
1003,1003_t0003,DUKAKIS,of,155.3,155.38
1003,1003_t0003,DUKAKIS,drug,155.38,155.56
1003,1003_t0003,DUKAKIS,enforcement,155.56,156.03
1003,1003_t0003,DUKAKIS,agents,156.03,156.41
1003,1003_t0003,DUKAKIS,to,156.41,156.73
1003,1003_t0003,DUKAKIS,fight,157.71,158.08
1003,1003_t0003,DUKAKIS,both,158.61,158.83
1003,1003_t0003,DUKAKIS,here,158.83,158.99
1003,1003_t0003,DUKAKIS,and,158.99,159.08
1003,1003_t0003,DUKAKIS,abroad,159.08,159.57
1003,1003_t0003,DUKAKIS,to,159.57,159.82
1003,1003_t0003,DUKAKIS,work,159.82,160.15
