debate_audio_id,turn_id,speaker,party,result,speaker_role,year,debate_type,date,n_sentences,n_words,n_syllables,turn_start_sec,turn_end_sec,speech_duration_sec,total_pause_sec,n_pauses_within_sentences,f0_mean,f0_std,intensity_mean_db,intensity_std_db,jitter_local_mean,shimmer_local_mean,hnr_mean_db,speech_rate_wps_mean,articulation_rate_wps_mean,syllable_rate_per_sec_mean,articulation_rate_syll_per_sec_mean,turn_floor_time_sec,turn_speech_density,pauses_per_100_words,mean_pause_sec_per_turn,turn_speech_rate_wps,turn_syllable_rate_per_sec,turn_articulation_rate_wps,turn_articulation_rate_syll_per_sec
1001,1001_t0011,Michael Dukakis,Democratic,loser,candidate,1988,Presidential,1988-09-25,15,399,606.0,392.772,454.66,52.638,4.2,10.0,151.997,18.336,61.823,1.405,0.029,0.109,8.823,5.077,5.308,419.879,7.608,61.888,0.851,2.506,0.42,6.447,9.792,7.58,11.513
1001,1001_t0012,Lehrer,—,moderator,moderator,1988,Presidential,1988-09-25,2,7,11.0,456.296,458.401,2.065,0.0,0.0,111.134,20.17,62.187,3.809,0.023,0.112,9.022,3.487,3.487,5.988,5.988,2.105,0.981,0.0,0.0,3.325,5.226,3.39,5.327
1001,1001_t0013,George H. W. Bush,Republican,winner,candidate,1988,Presidential,1988-09-25,15,171,261.0,458.862,524.68,57.742,1.37,5.0,126.793,22.772,65.024,2.088,0.024,0.095,9.432,3.041,3.082,4.754,4.814,65.818,0.877,2.924,0.274,2.598,3.965,2.961,4.52
1001,1001_t0014,Lehrer,—,moderator,moderator,1988,Presidential,1988-09-25,2,23,32.0,526.095,531.938,5.583,0.0,0.0,119.201,8.793,61.844,3.675,0.021,0.116,9.03,4.127,4.127,5.685,5.685,5.843,0.956,0.0,0.0,3.936,5.477,4.12,5.732
1001,1001_t0015,Mashek,—,moderator,moderator,1988,Presidential,1988-09-25,3,50,83.0,532.678,551.188,17.29,0.0,0.0,117.842,3.04,64.294,1.469,0.028,0.109,9.021,2.889,2.889,4.905,4.905,18.51,0.934,0.0,0.0,2.701,4.484,2.892,4.8
1001,1001_t0016,Michael Dukakis,Democratic,loser,candidate,1988,Presidential,1988-09-25,19,420,580.0,552.106,669.548,101.804,6.42,15.0,142.283,16.27,63.297,2.082,0.029,0.102,8.563,3.975,4.163,5.539,5.833,117.442,0.867,3.571,0.428,3.576,4.939,4.126,5.697
1001,1001_t0017,Michael Dukakis,Democratic,loser,candidate,1988,Presidential,1988-09-25,2,17,18.0,670.779,681.116,9.396,0.0,0.0,156.994,24.93,66.643,4.579,0.023,0.114,3.509,4.256,4.256,3.658,3.658,10.337,0.909,0.0,0.0,1.645,1.741,1.809,1.916
1001,1001_t0018,Lehrer,—,moderator,moderator,1988,Presidential,1988-09-25,1,6,10.0,681.267,682.025,0.758,0.0,0.0,153.526,,66.056,,0.029,0.114,4.464,7.916,7.916,13.21,13.193,0.758,1.0,0.0,0.0,7.916,13.193,7.916,13.193
1001,1001_t0019,Michael Dukakis,Democratic,loser,candidate,1988,Presidential,1988-09-25,1,41,53.0,682.176,691.59,8.234,1.18,3.0,133.507,,61.469,,0.026,0.103,8.337,4.355,4.979,5.63,6.437,9.414,0.875,7.317,0.393,4.355,5.63,4.979,6.437
1001,1001_t0020,Lehrer,—,moderator,moderator,1988,Presidential,1988-09-25,1,6,8.0,692.191,693.253,1.062,0.0,0.0,118.734,,61.083,,0.016,0.162,7.784,5.65,5.65,7.533,7.533,1.062,1.0,0.0,0.0,5.65,7.533,5.65,7.533
